Date,Open,High,Low,Close,Volume,Adj Close
2017-03-06,9.40,9.46,9.39,9.45,40451100,9.45
2017-03-03,9.41,9.43,9.36,9.40,34265500,9.40
2017-03-02,9.51,9.54,9.42,9.43,40362800,9.43
2017-03-01,9.49,9.55,9.47,9.49,34699300,9.49
2017-02-28,9.43,9.51,9.42,9.48,36971900,9.48
2017-02-27,9.50,9.50,9.42,9.43,40734100,9.43
2017-02-24,9.50,9.54,9.48,9.50,33250000,9.50
2017-02-23,9.55,9.57,9.48,9.51,33532700,9.51
2017-02-22,9.57,9.57,9.50,9.57,46296600,9.57
2017-02-21,9.55,9.62,9.54,9.57,64658400,9.57
2017-02-20,9.40,9.58,9.40,9.56,89875500,9.56
2017-02-17,9.46,9.49,9.37,9.39,42377400,9.39
2017-02-16,9.45,9.50,9.42,9.46,41116100,9.46
2017-02-15,9.40,9.54,9.39,9.45,75661300,9.45
2017-02-14,9.41,9.42,9.37,9.40,36240400,9.40
2017-02-13,9.34,9.44,9.33,9.41,63836400,9.41
2017-02-10,9.32,9.36,9.31,9.33,48274300,9.33
2017-02-09,9.30,9.33,9.28,9.31,34285500,9.31
2017-02-08,9.29,9.30,9.24,9.30,36027200,9.30
2017-02-07,9.31,9.32,9.27,9.30,39688400,9.30
2017-02-06,9.26,9.32,9.26,9.31,51678600,9.31
2017-02-03,9.34,9.36,9.23,9.26,31547200,9.26
2017-02-02,9.33,9.33,9.33,9.33,000,9.33
2017-02-01,9.33,9.33,9.33,9.33,000,9.33
2017-01-31,9.33,9.33,9.33,9.33,000,9.33
2017-01-30,9.33,9.33,9.33,9.33,000,9.33
2017-01-27,9.33,9.33,9.33,9.33,000,9.33
2017-01-26,9.27,9.34,9.26,9.33,42071200,9.33
2017-01-25,9.27,9.28,9.25,9.26,30440100,9.26
2017-01-24,9.23,9.28,9.20,9.27,47024400,9.27
2017-01-23,9.22,9.26,9.20,9.22,42029900,9.22
2017-01-20,9.17,9.23,9.17,9.22,39332800,9.22
2017-01-19,9.15,9.24,9.15,9.18,43771200,9.18
2017-01-18,9.14,9.19,9.13,9.17,57426900,9.17
2017-01-17,9.12,9.16,9.10,9.15,54555200,9.15
2017-01-16,9.15,9.16,9.07,9.14,68316500,9.14
2017-01-13,9.14,9.19,9.12,9.16,43430100,9.16
2017-01-12,9.13,9.17,9.13,9.15,42800600,9.15
2017-01-11,9.14,9.17,9.13,9.14,30343000,9.14
2017-01-10,9.15,9.16,9.14,9.15,24105300,9.15
2017-01-09,9.13,9.17,9.11,9.15,36108100,9.15
2017-01-06,9.17,9.17,9.11,9.13,35815400,9.13
