code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2014-12-31,15.450000,15.790000,15.110000,15.690000,0.021484,468832339.000000,7271524766.000000,234138373200.000000,292672966500.000000,0.031417,130.254642,2014-09-30,2014-10-31,6.375742,2.515326,3.401388,1.265111,15.081313
sh600000,2014-12-30,14.950000,15.500000,14.830000,15.360000,0.027425,443655559.000000,6774519460.000000,229213856750.000000,286517320930.000000,0.029730,127.515107,2014-09-30,2014-10-31,6.241646,2.462423,3.329850,1.238503,14.764121
sh600000,2014-12-29,15.400000,15.880000,14.710000,14.950000,0.012187,625216146.000000,9556435997.000000,223095518120.000000,278869397650.000000,0.041897,124.111353,2014-09-30,2014-10-31,6.075039,2.396694,3.240966,1.205444,14.370023
sh600000,2014-12-26,14.300000,14.840000,14.190000,14.770000,0.036491,466983121.000000,6790353352.000000,220409418240.000000,275511772800.000000,0.031293,122.617020,2014-09-30,2014-10-31,6.001893,2.367837,3.201944,1.190930,14.197004
sh600000,2014-12-25,13.750000,14.270000,13.530000,14.250000,0.058692,455721907.000000,6359588287.000000,212649574130.000000,265811967660.000000,0.030539,118.300130,2014-09-30,2014-10-31,5.790589,2.284474,3.089216,1.149001,13.697180
sh600000,2014-12-24,14.110000,14.200000,13.310000,13.460000,-0.046067,417579539.000000,5715187854.000000,200860580200.000000,251075725250.000000,0.027983,111.741781,2014-09-30,2014-10-31,5.469569,2.157827,2.917955,1.085303,12.937833
sh600000,2014-12-23,14.400000,14.980000,14.080000,14.110000,-0.038828,441578783.000000,6398625351.000000,210560385330.000000,263200481670.000000,0.029591,117.137976,2014-09-30,2014-10-31,5.733704,2.262032,3.058868,1.137714,13.562622
sh600000,2014-12-22,14.180000,15.200000,14.140000,14.680000,0.041874,683449513.000000,10043569171.000000,219066368300.000000,273832960370.000000,0.045799,121.869942,2014-09-30,2014-10-31,5.965325,2.353410,3.182436,1.183674,14.110505
sh600000,2014-12-19,13.960000,14.200000,13.630000,14.090000,0.014399,436244208.000000,6099396161.000000,210261929790.000000,262827412240.000000,0.029233,116.971863,2014-09-30,2014-10-31,5.725573,2.258824,3.054530,1.136101,13.543389
sh600000,2014-12-18,14.220000,14.340000,13.710000,13.890000,-0.015592,499627853.000000,7010664184.000000,207277374360.000000,259096717950.000000,0.033481,115.311493,2014-09-30,2014-10-31,5.644300,2.226761,3.011172,1.119974,13.351146
sh600000,2014-12-17,13.490000,14.390000,13.330000,14.110000,0.061701,869703585.000000,12037657249.000000,210560385330.000000,263200481670.000000,0.058280,117.137907,2014-09-30,2014-10-31,5.733700,2.262031,3.058866,1.137713,13.562614
sh600000,2014-12-16,12.700000,13.300000,12.650000,13.290000,0.041536,438688005.000000,5706439860.000000,198323708080.000000,247904635110.000000,0.029397,110.330410,2014-09-30,2014-10-31,5.400485,2.130572,2.881099,1.071595,12.774420
sh600000,2014-12-15,12.800000,12.820000,12.460000,12.760000,-0.016949,335025414.000000,4232421865.000000,190414636200.000000,238018295260.000000,0.022451,105.930482,2014-09-30,2014-10-31,5.185116,2.045606,2.766202,1.028860,12.264982
sh600000,2014-12-12,13.050000,13.380000,12.780000,12.980000,-0.005364,310558743.000000,4067040277.000000,193697647170.000000,242122058970.000000,0.020811,107.756853,2014-09-30,2014-10-31,5.274514,2.080875,2.813895,1.046599,12.476445
sh600000,2014-12-11,12.960000,13.550000,12.850000,13.050000,-0.008359,442571181.000000,5847503446.000000,194742241570.000000,243427801970.000000,0.029657,108.337977,2014-09-30,2014-10-31,5.302959,2.092097,2.829070,1.052243,12.543729
sh600000,2014-12-10,12.700000,13.250000,12.210000,13.160000,0.040316,620272395.000000,7901267906.000000,196383747060.000000,245479683820.000000,0.041565,109.251208,2014-09-30,2014-10-31,5.347660,2.109732,2.852918,1.061113,12.649466
sh600000,2014-12-09,13.560000,14.160000,12.460000,12.650000,-0.083997,869193775.000000,11788051418.000000,188773130720.000000,235966413400.000000,0.058246,105.017330,2014-09-30,2014-10-31,5.140419,2.027972,2.742357,1.019991,12.159254
sh600000,2014-12-08,13.390000,14.040000,13.200000,13.810000,0.020695,703922500.000000,9622363300.000000,206083552190.000000,257604440240.000000,0.047171,114.647364,2014-09-30,2014-10-31,5.611792,2.213936,2.993830,1.113524,13.274251
sh600000,2014-12-05,13.420000,14.000000,12.900000,13.530000,0.019593,859647616.000000,11553890777.000000,201905174600.000000,252381468240.000000,0.057606,112.322843,2014-09-30,2014-10-31,5.498011,2.169048,2.933129,1.090947,13.005110
sh600000,2014-12-04,12.580000,13.300000,12.370000,13.270000,0.054849,720041669.000000,9307946036.000000,198025252540.000000,247531565680.000000,0.048251,110.164392,2014-09-30,2014-10-31,5.392359,2.127366,2.876764,1.069982,12.755198
